from playwright.sync_api import sync_playwright

def run():
    with sync_playwright() as p:
        browser = p.chromium.launch(headless=False)
        page = browser.new_page()
        page.goto("https://www.mercadolivre.com.br/", timeout=60000)

        # Espera os carrosséis carregarem completamente
        page.wait_for_selector('.CarouselDynamic', timeout=15000)

        # Pegando todos os carrosséis
        carrosseis = page.query_selector_all('.CarouselDynamic')
        print(f'Total de carrosséis encontrados: {len(carrosseis)}')

        for carrossel in carrosseis:
            # Pegando o título da categoria dentro do carrossel
            titulo_element = carrossel.query_selector('.dynamic-carousel__container--with-link h2')
            if titulo_element:
                titulo_texto = titulo_element.inner_text()
                print(f'Título encontrado: {titulo_texto}')
            else:
                print('Título não encontrado para esse carrossel')
                titulo_texto = 'Sem título'

            # Pegando todos os produtos dentro do carrossel
            produtos = carrossel.query_selector_all('.andes-carousel-snapped__slide')
            print(f'Produtos encontrados: {len(produtos)}')

            for produto in produtos:
                titulo_produto = produto.query_selector('h3.dynamic-carousel__title')
                preco = produto.query_selector('span.dynamic-carousel__price span')
                link = produto.query_selector('a.splinter-link')
                imagem = produto.query_selector('img.dynamic-carousel__img')

                print({
                    'categoria': titulo_texto,
                    'titulo': titulo_produto.inner_text() if titulo_produto else None,
                    'preco': preco.inner_text() if preco else None,
                    'link': link.get_attribute('href') if link else None,
                    'imagem': imagem.get_attribute('src') if imagem else None,
                })

        browser.close()

if __name__ == '__main__':
    run()
Categoria,Titulo,Ranking_venda,Preco,Link_produto,Link_imagem_produto,Data
Games,Cadeira de Escritório Pctop Office Fit 1001 9050 Ergonômica Preta com Estofado de Mesh y Tecido,1,215,https://www.mercadolivre.com.br/cadeira-de-escritorio-pctop-office-fit-1001-9050-ergonmica-preta-com-estofado-de-mesh-y-tecido/p/MLB17810620#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=1&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba561-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba561-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_971471-MLA46389734628_062021-P.webp,2025-05-05 07:37:18.870485
Games,Ssd M.2 Nvme 4.0 1tb Kingston Nv3 2280 6000mb/s E 4000 Mb/s Cor Azul-escuro,2,412,https://www.mercadolivre.com.br/ssd-m2-nvme-40-1tb-kingston-nv3-2280-6000mbs-e-4000-mbs-cor-azul-escuro/p/MLB39766120#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=2&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba562-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba562-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_821973-MLA81427650462_122024-P.webp,2025-05-05 07:37:18.870485
Games,Controle joystick sem fio Sony PlayStation 5 DualSense midnight black,3,474,https://www.mercadolivre.com.br/controle-joystick-sem-fio-sony-playstation-5-dualsense-midnight-black/p/MLB18010993#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=3&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba563-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba563-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_729596-MLA79693497087_102024-P.webp,2025-05-05 07:37:18.870485
Games,Console Sony PlayStation 5 Digital Slim 1TB – Branco + Jogos Returnal e Ratchet & Clank + Controle Sem Fio DualSense Branco,4,3,https://www.mercadolivre.com.br/console-sony-playstation-5-digital-slim-1tb-branco-jogos-returnal-e-ratchet-clank-controle-sem-fio-dualsense-branco/p/MLB37494438#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=4&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba564-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba564-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_797624-MLU77183763308_072024-P.webp,2025-05-05 07:37:18.870485
Games,Microfone Hollyland Lark M2 Duo Combo Duplo Para 2 Pessoas Cor Preto,5,1,https://www.mercadolivre.com.br/microfone-hollyland-lark-m2-duo-combo-duplo-para-2-pessoas-cor-preto/p/MLB34016199#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=5&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba565-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba565-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_947018-MLU74678147031_022024-P.webp,2025-05-05 07:37:18.870485
Games,Controle Xbox Wireless Series X|s Carbon black,6,429,https://www.mercadolivre.com.br/controle-xbox-wireless-series-xs-carbon-black/p/MLB16268160#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=6&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba566-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba566-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_903265-MLU72824211081_112023-P.webp,2025-05-05 07:37:18.870485
Games,Headset Gamer Com Microfone E Fone P2 Compatível Xbox One Ps4 Pc Mobile Vermelho RGB,7,52,https://www.mercadolivre.com.br/headset-gamer-com-microfone-e-fone-p2-compativel-xbox-one-ps4-pc-mobile-vermelho-rgb/p/MLB24217772#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=7&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba567-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba567-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_874102-MLU77341092179_062024-P.webp,2025-05-05 07:37:18.870485
Games,Headset Gamer Havit H2002d Fone de ouvido over-ear gamer Vermelho Compatível com PS4/PS5/xbox/One/Series/pc,8,218,https://www.mercadolivre.com.br/headset-gamer-havit-h2002d-fone-de-ouvido-over-ear-gamer-vermelho-compativel-com-ps4ps5xboxoneseriespc/p/MLB15830186#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=8&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba568-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba568-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_744659-MLU77327336701_062024-P.webp,2025-05-05 07:37:18.870485
Games,Controle Gamesir T4 Nova Lite Sem Fio Para Pc Switch Android Ios Steam Celular Hall Effect Cor Branco,9,191,https://www.mercadolivre.com.br/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-celular-hall-effect-cor-branco/p/MLB36695087#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=9&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba569-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba569-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_769930-MLU77931866912_082024-P.webp,2025-05-05 07:37:18.870485
Games,Controle Compatível Ps4 Bluetooth Pc Gamer Tv Smart Preto,10,56,https://www.mercadolivre.com.br/controle-compativel-ps4-bluetooth-pc-gamer-tv-smart-preto/p/MLB36590147#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=10&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=ebfba56a-299c-11f0-9ecf-f94aa7abff9d&c_element_id=ebfba56a-299c-11f0-9ecf-f94aa7abff9d&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_980942-MLA80446002375_112024-P.webp,2025-05-05 07:37:18.870485
